smiles,property
CCC/C=C(\CCC)[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccccc1)c1ccc(C(=O)OC)cc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1cccs1)c1ccc(C(=O)OC)cc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1cccs1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)CCc1ccccc1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,0.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1ccccc1)c1ccccc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccco1)c1ccc(C(=O)OC)cc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)C(C)(C)C)c1ccc(C(=O)OC)cc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(C(=O)OC)cc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccccc1)c1ccccc1,1.0
C=C(CCCC)[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)C(C)(C)C)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccc(C(=O)OC)cc1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccco1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1cccs1)c1ccccc1,0.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccc(C(=O)OC)cc1)c1ccc(C(=O)OC)cc1,0.0
CCC=CC(CCC)[C@@H](NC(=O)Cc1ccccc1)c1ccc(C(=O)OC)cc1,0.0
CCCCCC/C=C(\C)[C@@H](NC(=O)c1cccnc1)c1ccc(-c2ccccc2)cc1,0.0
CCC/C=C(\CCC)[C@@H](NC(=O)CC(C)C)c1ccccc1,1.0
