strategy,seed,assayed,rmse,ece,hits,best_pic50
random,0,60,1.2851076126098633,0.06722220033407211,0,8.216096878051758
random,0,120,1.306186556816101,0.06555553525686264,5,9.0
random,0,180,1.3332427740097046,0.04566665366292,10,10.522878646850586
random,0,240,1.2561413049697876,0.0756666511297226,15,10.522878646850586
random,0,300,1.3122538328170776,0.08933331817388535,20,10.522878646850586
random,0,360,1.262597918510437,0.06666665524244308,29,10.522878646850586
random,0,420,1.253016710281372,0.06433331966400146,36,10.522878646850586
random,1,60,1.075298547744751,0.08133331686258316,3,9.154901504516602
random,1,120,1.2058978080749512,0.06233331561088562,7,9.154901504516602
random,1,180,1.2689547538757324,0.05599997565150261,20,9.154901504516602
random,1,240,1.2623634338378906,0.07866664975881577,25,9.154901504516602
random,1,300,1.2554047107696533,0.06599997729063034,30,9.154901504516602
random,1,360,1.2341617345809937,0.05699998140335083,30,9.154901504516602
random,1,420,1.2205671072006226,0.06733331084251404,34,9.154901504516602
random,2,60,1.165431261062622,0.10666666179895401,2,8.568635940551758
random,2,120,1.3379836082458496,0.08799999207258224,10,9.522878646850586
random,2,180,1.202552080154419,0.023111099377274513,17,9.522878646850586
random,2,240,1.195066213607788,0.029222214594483376,20,9.522878646850586
random,2,300,1.202318549156189,0.015222209505736828,27,9.522878646850586
random,2,360,1.189224362373352,0.017999986186623573,31,9.522878646850586
random,2,420,1.142929196357727,0.021666688844561577,35,9.522878646850586
uncertainty,0,60,1.2851972579956055,0.06688886880874634,0,8.216096878051758
uncertainty,0,120,1.1948089599609375,0.17033331096172333,0,8.216096878051758
uncertainty,0,180,1.2674778699874878,0.11833331733942032,5,9.0
uncertainty,0,240,0.9835171103477478,0.08433331549167633,8,9.154901504516602
uncertainty,0,300,1.1652097702026367,0.11266664415597916,21,9.154901504516602
uncertainty,0,360,1.0315451622009277,0.059666652232408524,22,9.154901504516602
uncertainty,0,420,1.101503610610962,0.07199998944997787,31,9.154901504516602
uncertainty,1,60,1.0733616352081299,0.08266665786504745,3,9.154901504516602
uncertainty,1,120,1.080165147781372,0.05266668274998665,3,9.154901504516602
uncertainty,1,180,1.1040369272232056,0.04933331161737442,5,9.154901504516602
uncertainty,1,240,1.0002713203430176,0.04599998891353607,7,9.154901504516602
uncertainty,1,300,1.0815387964248657,0.08233331888914108,9,9.154901504516602
uncertainty,1,360,1.0733014345169067,0.05133330821990967,10,9.522878646850586
uncertainty,1,420,1.0083119869232178,0.04499998316168785,21,9.522878646850586
uncertainty,2,60,1.1636861562728882,0.10566665977239609,2,8.568635940551758
